zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
924,18.39827,-66.01289,San Juan,PR,Puerto Rico,1,,49508,4667.1,72127,San Juan,"{'72031': 4.14, '72127': 95.86}",San Juan|Carolina,72127|72031,False,0,America/Puerto_Rico
925,18.40031,-66.05055,San Juan,PR,Puerto Rico,1,,6924,7509.0,72127,San Juan,{'72127': 100},San Juan,72127,False,0,America/Puerto_Rico
926,18.3462,-66.05234,San Juan,PR,Puerto Rico,1,,96530,1739.6,72127,San Juan,"{'72061': 0.39, '72127': 88.13, '72139': 11.47}",San Juan|Trujillo Alto|Guaynabo,72127|72139|72061,False,0,America/Puerto_Rico
927,18.38875,-66.07189,San Juan,PR,Puerto Rico,1,,13351,2195.3,72127,San Juan,{'72127': 100},San Juan,72127,False,0,America/Puerto_Rico
934,18.411379999999998,-66.12399,Fort Buchanan,PR,Puerto Rico,1,,79,148.4,72061,Guaynabo,"{'72021': 42.01, '72061': 57.99}",Guaynabo|Bayamón,72061|72021,False,0,America/Puerto_Rico
936,18.39548,-66.07376,San Juan,PR,Puerto Rico,1,,812,1629.4,72127,San Juan,{'72127': 100},San Juan,72127,False,0,America/Puerto_Rico
949,18.43017,-66.20883,Toa Baja,PR,Puerto Rico,1,,73891,1806.9,72137,Toa Baja,"{'72033': 4.15, '72137': 95.85}",Toa Baja|Cataño,72137|72033,False,0,America/Puerto_Rico
950,18.46208,-66.2376,Toa Baja,PR,Puerto Rico,1,,0,1.5,72051,Dorado,{'72051': 100},Dorado,72051,False,0,America/Puerto_Rico
951,18.428420000000006,-66.25661,Toa Baja,PR,Puerto Rico,1,,0,32.5,72137,Toa Baja,{'72137': 100},Toa Baja,72137,False,0,America/Puerto_Rico
952,18.42748,-66.18207,Sabana Seca,PR,Puerto Rico,1,,8156,3122.6,72137,Toa Baja,{'72137': 100},Toa Baja,72137,False,0,America/Puerto_Rico
953,18.363120000000002,-66.2475,Toa Alta,PR,Puerto Rico,1,,71891,1056.0,72135,Toa Alta,"{'72047': 0.2, '72135': 98.93, '72137': 0.87}",Toa Alta|Toa Baja|Corozal,72135|72137|72047,False,0,America/Puerto_Rico
956,18.32082,-66.17175,Bayamon,PR,Puerto Rico,1,,65355,1156.6,72021,Bayamón,"{'72021': 99.8, '72135': 0.2}",Bayamón|Toa Alta,72021|72135,False,0,America/Puerto_Rico
957,18.36735,-66.18869000000001,Bayamon,PR,Puerto Rico,1,,38915,3816.9,72021,Bayamón,"{'72021': 97.07, '72135': 2.93}",Bayamón|Toa Alta,72021|72135,False,0,America/Puerto_Rico
